craft_element_id,craft_uid,sitecore_item_id,section,entry_type,slug,craft_uri
8670524,f9887917-5fa3-410f-ab90-9598273a2220,5cc90fcd-de61-4be8-a862-2b7417dc6199,lessons,lessons,atrio-bath-zone-base-product-line,nuggets/atrio-bath-zone-base-product-line
8712080,4d80643c-03ff-4bbf-b2b3-d8b05477ffdb,ae3018f6-414f-423d-90ca-e786c3aee0c5,lessons,lessons,atrio-bath-zone-private-collection,nuggets/atrio-bath-zone-private-collection
8725744,f747297b-e836-4b25-86de-e72df0488921,90b85bac-0aff-4bcc-803e-28381a36a58a,lessons,lessons,atrio-brushed-hard-graphite,nuggets/atrio-brushed-hard-graphite
8694275,23bb89f0-ce36-4701-bdca-274d777d1080,20e5427b-2ec0-421e-ba94-88c05790a7d9,lessons,lessons,atrio-caesarstone-the-pioneer-of-quartz-worktop-surfaces,nuggets/atrio-caesarstone-the-pioneer-of-quartz-worktop-surfaces
8690701,b6abd148-a5a6-4434-96d6-9ba2d5b1288c,9627847d-8102-4a41-ae92-0c8c7b02abca,lessons,lessons,atrio-choose-your-favorite-colour,nuggets/atrio-choose-your-favorite-colour
8721001,6421f902-de49-44c8-8428-19658c456b19,3b21e826-81c1-4a0f-8006-f69452828e77,lessons,lessons,atrio-colour-options-private-collection,nuggets/atrio-colour-options-private-collection
8690430,853c2e49-9ab7-4566-b2e9-b34eec588883,f2356b64-6007-4652-834b-b030f225eb1e,lessons,lessons,atrio-colours,nuggets/atrio-colours
8638606,23b8b0e7-c4a0-403c-b98d-9a361b9a6d28,a5ad9ee1-3a02-4eb0-8c23-a08b2b91801f,lessons,lessons,atrio-concept,nuggets/atrio-concept
8651410,c570b804-b855-42ba-966a-aebfd2078843,e15fbe50-4091-455b-9c45-ce80286699c3,lessons,lessons,atrio-concept-2,nuggets/atrio-concept-2
8725743,0a8c9e6b-f8e0-4757-aaa5-148a65e2dbc0,a4e06ef8-e2c2-451a-8316-5f00bfa69096,lessons,lessons,atrio-cool-sunrise,nuggets/atrio-cool-sunrise
8641884,80572c64-9a01-4966-b444-05246bb8dd9c,bc5163ee-9d43-421f-a423-b0ca2f2a1bb6,lessons,lessons,atrio-design-attributes,nuggets/atrio-design-attributes
8649309,b9882c38-21d3-4f3f-9f70-ec1f68148602,b593dded-4611-4565-ad47-1df99b540d7a,lessons,lessons,atrio-designed-in-germany-made-for-everyone,nuggets/atrio-designed-in-germany-made-for-everyone
8652060,0fab9cdf-7383-4ebe-8bc4-767595cc6794,ef29b039-4cdc-4064-9520-4293ea1c8166,lessons,lessons,atrio-ecojoy-laminar-waterflow,nuggets/atrio-ecojoy-laminar-waterflow
8651642,02b7a0b7-f928-47a6-a38a-ee6bdda0dc35,3475707e-0d40-4bdb-b76a-1766fb7b3584,lessons,lessons,atrio-german-engineering,nuggets/atrio-german-engineering
8694564,cef14dc7-2ce3-4e05-898d-52ac5f1947f2,8c410b6d-1106-41d5-9c9d-1d3737779279,lessons,lessons,atrio-grohes-partner-for-innovative-design-options,nuggets/atrio-grohes-partner-for-innovative-design-options
8639660,03e045a1-b3d9-48eb-a0b0-b1d785aefece,b975f9df-4425-44d6-96d6-b650b90e7242,lessons,lessons,atrio-in-harmony-with-every-bathroom-style,nuggets/atrio-in-harmony-with-every-bathroom-style
8627566,0e3a7cfb-83c7-4611-8842-2836a27c0bb7,af522f1c-c432-44f9-88ff-b1faf808613f,lessons,lessons,atrio-introducing-grohe-atrio,nuggets/atrio-introducing-grohe-atrio
8736081,f6eca59a-9439-4d89-b6a9-e547bf888605,d9993af6-0e7c-4455-8a37-f931aee1881d,lessons,lessons,atrio-key-take-aways,nuggets/atrio-key-take-aways
